T	X1	X12	X14	X16	X18	X2
0	3.492953434	3.168136628	2.823439281	2.472140848	2.125788677	1.793769255
0.1	0.058222003	0.053825404	0.04915549	0.044358469	0.03956242	0.034874784
0.2	-1.340413784	-1.214774414	-1.081479546	-0.945682408	-0.811863751	-0.683664236
0.3	-1.509515789	-1.368717634	-1.219351459	-1.067162969	-0.917147246	-0.773365253
0.4	-1.026850805	-0.931710666	-0.83077022	-0.727896511	-0.626446989	-0.529151366
0.5	-0.289872644	-0.264043278	-0.23657052	-0.208505728	-0.180750156	-0.154033139
0.6	0.443670272	0.400614234	0.35513691	0.308948729	0.263561399	0.220215035
0.7	1.022007071	0.924647257	0.821761161	0.717187723	0.614303991	0.515878395
0.8	1.371599902	1.241354366	1.103851578	0.964149697	0.826702589	0.695169412
0.9	1.474577067	1.33449619	1.18689328	1.037075778	0.889732105	0.748729975
1	1.350621734	1.221881486	1.086695676	0.949735258	0.815153124	0.68640102
1.1	1.042671033	0.942405877	0.837853834	0.732336923	0.628852187	0.529931602
1.2	0.605850974	0.5460227	0.484819483	0.423721411	0.364139351	0.307335201
1.3	0.099137263	0.086183976	0.075170554	0.065475344	0.05669483	0.048633981
1.4	-0.42070869	-0.385656849	-0.345284142	-0.302350331	-0.259107718	-0.217238245
1.5	-0.903325308	-0.823839853	-0.735884961	-0.644197357	-0.552741092	-0.464576143
1.6	-1.307405468	-1.190906162	-1.063266434	-0.930877452	-0.799137765	-0.672262871
1.7	-1.602123095	-1.458892484	-1.302511469	-1.140583295	-0.979559525	-0.824504089
1.8	-1.767594111	-1.609750413	-1.437526322	-1.259218172	-1.081882238	-0.911069488
1.9	-1.794597572	-1.635095107	-1.460818466	-1.280203435	-1.100432286	-0.927156767
2	-1.683749859	-1.535458126	-1.372832883	-1.203899744	-1.035491349	-0.872976243
2.1	-1.444295193	-1.319192378	-1.180978497	-1.036757205	-0.892568324	-0.753139238
2.2	-1.092649301	-1.001153152	-0.898455074	-0.790290865	-0.681521137	-0.57591991
2.3	-0.650809426	-0.601257839	-0.542971931	-0.479961412	-0.415596992	-0.352448215
2.4	-0.144722952	-0.143007958	-0.13543289	-0.124026155	-0.110446913	-0.095881027
2.5	0.397311565	0.347959641	0.301352985	0.257587657	0.216840751	0.179410968
2.6	0.946153455	0.845240242	0.743888448	0.644346573	0.54865298	0.458611237
2.7	1.473195715	1.32290812	1.169097922	1.016081129	0.867684624	0.7271581
2.8	1.951576491	1.756614617	1.555305073	1.353840551	1.15767198	0.971362267
2.9	2.357205783	2.124518904	1.883061574	1.640617495	1.40401498	1.178930745
3	2.669595942	2.408041014	2.135817777	1.861934701	1.59428097	1.339391192
3.1	2.872492098	2.592433656	2.30043217	2.006290802	1.718587725	1.444414696
3.2	2.95430501	2.66717503	2.367521564	2.065466977	1.769867098	1.488038171
3.3	2.90835395	2.626189536	2.331658141	2.03469977	1.744013893	1.466790176
3.4	2.732931382	2.467907014	2.191422803	1.912728344	1.639926993	1.379726096
3.5	2.431204402	2.195174056	1.949326867	1.701726648	1.459451752	1.228380224
3.6	2.010970268	1.815033092	1.611616056	1.407132693	1.207234097	1.016643534
3.7	1.484285015	1.338386439	1.187972082	1.037388298	0.890497776	0.750576759
3.8	0.866985173	0.779563442	0.691127948	0.603603376	0.51875683	0.438168924
3.9	0.178123055	0.155809259	0.136413453	0.119159173	0.103475647	0.089051718
4	-0.560663903	-0.513286177	-0.458752592	-0.400735121	-0.342311058	-0.285819896
4.1	-1.325829713	-1.206400863	-1.075407291	-0.939518296	-0.804406221	-0.674510657
4.2	-2.092623029	-1.901117606	-1.693610186	-1.479771972	-1.267874718	-1.06446177
